delegates,github.com/zverok/delegates,3.7,-1,1,0,0,10,-1,0,0,10,10,0,-1,9,0,0,0
dezalgo,github.com/npm/dezalgo,4.9,1,0,-1,0,10,-1,10,0,-1,10,10,10,10,0,0,0
did_you_mean,github.com/ruby/did_you_mean,4.9,1,2,-1,0,10,10,7,10,-1,10,0,10,0,0,-1,0
ecc-jsbn,github.com/aduh95/ecc-jsbn,4.8,-1,0,0,0,10,-1,0,10,0,10,-1,10,10,10,0,0
editor,github.com/tbhuabi/editor,5.8,10,-1,0,0,10,-1,0,-1,10,10,0,10,10,10,0,0
es5-ext,github.com/medikoo/es5-ext,4.7,-1,4,1,0,10,0,8,0,10,10,0,-1,10,10,0,0
es6-iterator,github.com/medikoo/es6-iterator,4.8,0,-1,0,0,10,10,0,10,10,10,10,-1,-1,0,0,0
es6-symbol,github.com/medikoo/es6-symbol,5.6,0,-1,0,0,10,-1,8,0,10,10,10,10,10,-1,0,0
escape-string-regexp,github.com/d-fischer/escape-string-regexp,5.5,-1,0,0,0,-1,10,0,10,-1,10,0,10,10,10,10,0
extend,github.com/jsmini/extend,5.4,0,0,-1,0,10,10,10,-1,10,0,10,10,0,0,-1,6
forever-agent,github.com/mikeal/forever-agent,4.8,0,0,-1,0,10,-1,0,0,10,10,10,10,10,-1,0,0
form-data,github.com/form-data/form-data,5.7,-1,6,0,0,10,10,-1,0,10,10,10,10,-1,3,0,0
freetype,github.com/golang/freetype,4.8,-1,0,0,0,10,-1,0,0,10,10,-1,10,10,10,0,0
fs-extra,github.com/webjars/fs-extra,4.5,0,-1,0,0,10,-1,0,0,10,-1,0,10,10,10,0,0
fs-vacuum,github.com/npm/fs-vacuum,4.8,0,0,-1,0,10,-1,10,0,-1,10,10,10,10,0,0,0
fs-write-stream-atomic,github.com/npm/fs-write-stream-atomic,4.8,0,-1,0,0,10,-1,0,10,0,10,-1,10,10,10,0,0
fs.realpath,github.com/isaacs/fs.realpath,3.9,0,0,-1,0,10,-1,0,0,-1,0,10,10,10,9,0,0
fstream,github.com/isaacs/fstream,4.8,-1,0,0,0,10,-1,0,-1,10,0,10,10,10,10,0,0
fstream-ignore,github.com/isaacs/fstream-ignore,4.8,0,-1,0,0,10,-1,0,10,10,10,10,10,-1,0,0,0
fstream-npm,github.com/isaacs/fstream-npm,5.2,0,-1,0,0,10,-1,10,10,0,-1,10,10,10,-1,0,0
gauge,github.com/getgauge/gauge,6.4,6,-1,9,0,10,0,10,10,10,10,7,0,0,8,10,0
gcc,github.com/gcc-mirror/gcc,6.3,0,-1,10,0,10,-1,0,10,-1,0,10,10,0,10,9,10
generate-function,github.com/mafintosh/generate-function,4.8,0,0,-1,0,10,-1,10,-1,10,10,0,10,10,0,0,0
generate-object-property,github.com/mafintosh/generate-object-property,4.8,-1,0,0,0,10,-1,-1,10,0,10,10,10,10,0,0,0
git,github.com/vivaxy/git,6.7,-1,1,9,0,10,10,-1,10,10,10,10,10,-1,0,0,0
github-url-from-username-repo,github.com/robertkowalski/github-url-from-username-repo,4.8,-1,0,0,0,10,-1,10,0,10,10,10,10,0,0,-1,0
glib,github.com/GNOME/glib,6.8,-1,10,0,0,10,-1,0,10,-1,0,10,10,10,10,10,7
