name, starcount, description, official
letsencrypt/boulder-tools, 11, , 
gists/trojan-go, 2, [unofficial] A Trojan proxy written in Go, b…, 
yangnd89/mht, 10, 猕猴桃based on ubuntu, 
linuxserver/muximux, 164, A Muximux container, brought to you by Linux…, 
oupula/php-7.2, 3, x86_64 / aarch64 / armhf  php7.2.12 with fpm…, 
80x86/libtorrent-rasterbar, 4, libtorrent-rasterbar for qBittorrent, 
elrondnetwork/elrond-go-node, 3, The go implementation for the Elrond Network, 
y484v/calibre, 2, Calibre-web + Calibre (pour conversion des l…, 
waxteam/cdt, 4, Image containing the CDT required to compile…, 
ffquintella/docker-bamboo, 2, Altassian bamboo installation using puppet a…, 
nimmis/spigot, 51, This docker image builds and runs the spigot…, 
rohan/ascii-telnet-server, 4, Provides a telnet server that plays ASCII vi…, 
tigase/tigase-xmpp-server, 2, Tigase XMPP Server, 
iridakos/duckrails, 3, Runs DuckRails in production mode under ruby…, 
wenxiang/redis-trib, 2, redis-trib, 
newfuture/yaf, 11, mimimal yaf docker image include PHP YAF ext…, 
bids/validator, 3, Brain Imaging Data Structure Validator, 
romancin/rclonebrowser, 29, Docker container including RClone Browser wi…, 
axltxl/jenkins-dood, 5, Jenkins Docker container with DooD (Docker o…, 
patrickhulce/lhci-server, 5, Runs the LHCI server backed by a simple sqli…, 
wedatasphere/prophecis, 3, , 
fholzer/nginx-brotli, 33, Stable nginx with Google Brotli compression …, 
biwhite/packt, 3, Containerised daily claim and download scrip…, 
kecikeci/centos7.2-tools, 6, centos7.2+阿里云yum源+ssh密码登录+常用软件 …, 
w4rri0r3k/javamelody, 2, javamelody collector server, 
jqcoffey/hive-standalone, 3, Hive and HiveServer2 running on top of pseud…, 
ich777/fivemserver, 4, , 
hfishs/hub, 2, HFish 开源蜜罐框架插件中心, 
gkandemir/interactive-terminal-app, 2, , 
apache/skywalking-ui, 77, Apache SkyWalking Web UI, 
gafiatulin/alpine-sbt, 3, alpine-sbt, 
lwolf/kubectl_deployer, 4, Alpine based image with kubectl and gettext(…, 
fballiano/magento2-apache-php, 7, PHP7 image specifically created for Magento2., 
express-gateway, 66, DEPRECATED; The Official Docker Image of Exp…, [OK]
angoca/db2-instance, 18, OLD - 2. Prepares the environment to create …, 
vdjserver/vdj_pipe, 3, VDJPipe tool, 
sqreen/dvwa, 3, A deliberately vulnerable PHP test applicati…, 
grafana/ci-build-windows, 6, Windows CI build environment, 
hk7854s/linux_tweet_app, 2, , 
sgtwilko/rpi-raspbian-opencv, 24, OpenCV compiled for Raspbian with python2 an…, 
timescale/promscale, 2, , 
djenriquez/nomad, 11, Dockerized Nomad following Hashicorp's docke…, 
imixs/wildfly, 4, This Docker image runs the Java application …, 
amouat/dnmonster, 4, , 
lamtrantuan/docker-easyengine-wordpress, 3, Auto-build Docker image for the 15mins EasyE…, 
fison67/gh-connector, 7, GH Connector for x86, x64 ( Google Home & Sm…, 
pgrouting/pgrouting, 10, pgRouting Docker images., 
ilyaglow/qark, 2, Quick Android Review Kit by LinkedIn, 
vhellendoorn/code-lms-neox, 2, , 
schmunk42/nginx-redirect, 20, A very simple container to redirect HTTP tra…, 
arvon2014/webstack-laravel, 33, The webstack Docker image, 
hatamiarash7/mikrotik-exporter, 4, Prometheus exporter for Mikrotik devices, 
aldryn/base-project, 3, Aldryn Django Project base Image, 
nebulaorchestrator/worker, 2, The worker that runs on devices as part of a…, 
rancher/galera, 2, , 
gists/qbittorrent, 27, [unofficial] qBittorrent-NoX torrent client …, 
datastax/dse-server, 42, The best distribution of Apache Cassandra™ w…, 
ugeek/mariadb, 2, mariadb for Raspberry Pi and ARM, 
t4skforce/syncthing-relay-discovery, 4, Syncthing discovery and relay server Docker …, 
suanmeiguo/readthedocs, 6, A docker to host readthedocs.org, 
suzel/docker-processwire, 10, Docker ProcessWire, 
dchevell/jira-servicedesk, 8, Deprecated - use atlassian/jira-servicedesk, 
zzdjk6/silverstripe-4-nginx, 2, A docker image for SilverStripe 4, serve wit…, 
glassfish, 152, DEPRECATED; abandoned by the maintainer, [OK]
hcwxd/kubernetes-demo, 3, , 
drecom/centos-ruby, 6, centos ruby, 
myrefer/base, 2, , 
paolocarrasco/serenity-js-for-gitlab-ci, 2, Serenity-JS-ready image for Gitlab-CI builds., 
nazarpc/php, 2, More feature-complete PHP Docker images base…, 
treeder/bump, 3, , 
cszhouwei/cmake-demo, 2, , 
51systems/gitlab-ci-android, 2, Gitlab-CI runner for android, 
gophernet/traceroute, 3, traceroute prints the route that IP packets …, 
whatever4711/picapport, 7, Picapport in an Alpine Docker Container, 
vdespa/newman, 2, , 
648540858/wvp_pro, 15, 开箱即用的的28181协议视频平台, 
avloss/tensorflow-serving-rest, 2, Simple REST wrapper for a TF Serving with a …, 
abh1nav/cassandra, 42, Cassandra 2.1.5 (single or clustered). OpsCe…, 
mikefarah/yq, 17, yq is a portable command-line YAML processor, 
nytimes/thumbor, 3, Small Docker image for Thumbor., 
9madmax5/m4b-tool, 2, , 
treehouses/musicblocks, 2, , 
ckulka/baikal, 24, Provides a ready-to-go Baikal server, incl. …, 
layer5/meshery, 5, The service mesh management plane, 
typhonragewind/meshcentral, 12, , 
pebbletech/docker-aws-cli, 5, A simple docker that allows you to pass thro…, 
ich777/enpass, 2, , 
hoverbear/archlinux, 3, Arch Linux Base Image. https://github.com/ho…, 
yfix/nginx, 2, Yfix own build of the nginx-extras package, 
sorintlab/agola, 2, , 
tumgis/ctb-quantized-mesh, 11, Docker container for Cesium Terrain Builder …, 
riot/riotbuild, 31, Linux environment for building RIOT projects, 
qlik/py-build, 2, A collection of simple Dockerfiles packaging…, 
dhunter/itorch-notebook, 4, Torch, Jupyter notebook and the Facebook Jup…, 
cloudonix/android-ndk-cmakego, 2, A light(er) Android build environment with S…, 
baalajimaestro/android_build, 2, , 
appdynamics/cluster-agent, 7, Cluster Agent for Kubernetes, 
mlabbe/iperf3, 24, Dockerfile to setup a simple iperf3 server b…, 
limbomedia/limbomedia, 5, Officially dockerized LimboMedia! Your home …, 
pebbletech/nginx-proxy, 2, nginx-proxy sets up a container running ngin…, 
huli/gulp, 2, Gulp service, 
xyproto/algernon, 7, The Algernon Web Server in a 9MB docker image, 
jprjr/rainloop, 7, An Arch Linux-based image with Rainloop (a w…, 
hortonworks/cloudbreak-autoscale, 2, Cloudbreak autoscale, 
uphold/litecoin-core, 4, A Litecoin Core image., 
huerlisi/ruby-texlive-docker, 2, Image for Ruby with TexLive installed, 
aerospike/aerospike-server-enterprise, 3, Aerospike Server Enterprise Edition, 
jjdevelopment/uptime-kuma-push-service, 2, An little docker container to send an heartb…, 
cnsoluciones/mikrotik, 13, Mikrotik RouterOS in Docker for Lab and Test…, 
baxeico/django-uwsgi-nginx, 27, , 
wazuh/wazuh-kibana-odfe, 3, , 
pryorda/vmware_exporter, 7, VMWare VCenter Exporter for Prometheus., 
evolbioinfo/minimap2, 3, A versatile pairwise aligner for genomic and…, 
eferro/freemind, 4, , 
ysslang/finedocker, 5, Docker environment for FineReport and FineBI., 
kasmweb/zoom, 2, Zoom Client for Kasm Workspaces, 
rckclmbr/pyportify, 2, , 
grafana/tempo-query, 2, , 
k0st/nsrl, 2, NSRL Database Hash Search (alpine based - sm…, 
circleci/mariadb, 4, CircleCI images for MariaDB, 
capitaloneio/hygieia-ui, 4, Docker image for Hygieia UI, 
datadog/dev-dd-agent, 2, Development and test builds for docker-dd-ag…, 
ich777/firefox, 3, , 
ilemonrain/html5-speedtest, 53, HTML5-based Speedtest on Docker by iLemonrain, 
djenriquez/vault-ui, 23, A beautiful way to manage your Vault, writte…, 
jskeates/tippecanoe, 4, Dockerized version of Mapbox's Tippecanoe on…, 
sigven/pcgr, 6, Personal Cancer Genome Reporter - variant in…, 
glitchtip/glitchtip, 2, , 
rflathers/impacket, 4, Impacket on Alpine Docker Image, 
ril3y/sonix-sn98600-toolchain, 4, A complete fedora 18 toolchain for the SONiX…, 
subspacecloud/subspace, 9, , 
axarev/parsr, 3, Parsr: Turn your documents into data!, 
yodamad/svn2git, 2, Tool to help migration from SVN to Gitlab, 
bgerp/bgerp, 2, BGERP, 
eubrabigsea/ec3client, 2, Configuration and contextualization system f…, 
janusgraph/janusgraph, 20, JanusGraph: an open-source, distributed grap…, 
dh2i/dxemssql, 2, DxEnterprise + MSSQL 2019. Image provided as…, 
furiousgeorge/fever, 3, Fever feed reader (http://feedafever.com/), 
tsystem/mirth-connect, 2, docker mirth connect image with TAGS FOR EAC…, 
bpatterson/centos7-tomcat8, 6, CentOS7 w/ Tomcat8, 
jsrcorp/minecraft-pocket, 4, Minecraft PE Server Image, 
awalach/openvpn-web-ui, 2, , 
blindsidenetwks/bigbluetutor-server, 2, BigBlueTutor Server, 
angristan/isso, 3, Alpine-based docker image for the Isso Pytho…, 
phabricator/phabricator, 18, Unofficial Base Docker Image for Phabricator, 
swsnider/golang-plus-dart, 2, A docker image that combines golang and dart…, 
esridocker/arcgis-api-python-notebook, 34, Jupyter Notebook configured with ArcGIS API …, 
kdihalas/beanstalkd, 3, Beanstalkd docker image for fig, 
owasp/railsgoat, 7, OWASP Railsgoat., 
ceumicrodata/stata, 5, Stata 14 environment, 
ajoergensen/tinyproxy, 4, Tinyproxy, 
cmdsolutions/cmdline, 3, , 
xataz/nextcloud, 2, Fork of wonderfall/nextcloud, 
mghasemlou/selenium-headless, 3, , 
vp33ddyv/helloworld, 2, , 
rawmind/rancher-kafka, 2, rancher-kafka image based in rancher-jvm8, 
hazmi35/node, 2, A repository that contains Docker (OCI) base…, 
iron/python, 9, Tiny Python Microcontainer, 
jumpserver/core, 4, , 
gelog/adam, 4, A genomics processing engine and file format…, 
luzifer/teamspeak3, 42, , 
nextcloud, 3204, A safe home for all your data, [OK]
avinetworks/controller, 4, Avi Controller, 
eltercera/docker-processmaker, 4, Deploy Process Maker CE on Apache 2.4, PHP 5…, 
vembubdr/bdr-latest, 3, 5.2.0, 
yobasystems/alpine-invoice-ninja, 2, Invoice Ninja running on Alpine Linux [docke…, 
ibmcom/hyperkube, 2, , 
deepquestai/deepstack, 44, The AI Server empowering every developer to …, 
frostasm/ntopng-docker, 12, ntopng, 
raeferg/spacy-base, 2, Base image with Spacy 2.0.6 and Vader 2.5, 
mbixtech/arm32v7-observium, 4, Docker container for Observium Community Edi…, 
vauxoo/odoo-80-image-shippable-auto, 5, , 
coppit/xeoma, 7, Server for Xeoma. Xeoma is surveillance soft…, 
ksdn117/tcp-udp-test, 4, Docker-image for TCP/UDP connectivity test., 
tatsushid/tinycore, 36, Tiny Core Linux 10.x, 9.x, 8.x, 7.x and 6.x …, 
davidcaste/alpine-java-unlimited-jce, 13, Oracle Java 8 (and 7) with GLIBC 2.21 over A…, 
tplatform/aws-linux-httpd24-php71-fpm, 2, aws-linux-httpd24-php71-fpm, 
c0ny1/upload-labs, 11, upload-labs靶场docker镜像, 
yugabytedb/yugabyte, 20, The high-performance distributed SQL databas…, 
ehazlett/interlock, 26, Dynamic, event-driven Docker plugin system u…, 
bluespice/bluespice-free, 19, Official all-in-one docker image for BlueSpi…, 
lalyos/scratch-chmx, 2, , 
honeygain/honeygain, 74, Official Honeygain Docker image, 
circleci/postgres, 29, The PostgreSQL object-relational database sy…, 
412314/mltb, 2, , 
jameseckersall/deluge, 6, Deluge on Alpine, 
mdegans/l4t-base, 6, Unofficial l4t-base with Nvidia apt sources …, 
brycelarge/xteve-vpn, 3, xTeVe VPN, 
jenkins/jnlp-agent-maven, 7, A JNLP-based agent with Maven 3 built in, 
qmachu/etcd-cloud-operator, 2, The etcd-cloud-operator bootstraps, monitors…, 
zwh8800/xware, 30, xware for docker, 
cmrglab/cont_release_vnc, 2, , 
wso2am/wso2micro-gw-toolkit, 2, , 
unsafetypin/guacamole, 2, Latest Guacamole web, Guacd server, and pgsq…, 
apache/apisix, 44, Apache APISIX: Cloud-Native API Gateway, 
econtal/numpy-mkl, 4, Python 2.7 with numpy and scipy compiled wit…, 
dreamcat4/pipework, 15, A docker image of jpetazzo's pipework, 
jpdus/rpi-monitorix, 8, System Monitoring with Webinterface in docke…, 
tuxgasy/dolibarr, 33, Docker image for Dolibarr with auto installe…, 
nvidia/driver, 17, Driver images from https://gitlab.com/nvidia…, 
instantlinux/dhcpd-dns-pxe, 4, Serve DNS, DHCP and TFTP from a small Alpine…, 
elviejokike/react-native-android, 25, react-native-android, 
koryonik/gearman-ui, 9, , 
onisuly/aria2-with-webui, 6, Docker container for aria2 with integrated A…, 
uber/horovod, 16, This repository is deprecated.  To find Horo…, 
mcmoe/mssqldocker, 6, Builds on microsoft/mssql-server-linux and a…, 
wbswjc/composer-cn, 2, Composer image for Chinese (mainland) users., 
linuxserver/adguardhome-sync, 7, , 
dchevell/crowd, 8, Deprecated - use atlassian/crowd, 
jolibrain/platform_ui, 3, DeepDetect Platform UI, 
ezlabgva/orthologer, 2, Accurate and scalable inference of groups of…, 
pwcsexperiencecenter/drupal-module-tester, 2, Drupal 8 module testing image for codeship a…, 
piuma/centos7-apache-php, 14, Apache 2.4 and PHP 5.4, built on CentOS 7, 
ebiven/vue-cli, 30, Vue.js CLI container., 
rancher/cli2, 2, , 
jwilder/dockerize, 23, Utility to simplify running applications in …, 
aglover/java8-pier, 2, , 
coenvl/googletest, 3, Run unit tests on your c++ code using Google…, 
dduportal/oscap4docker, 3, , 
jplock/breakerbox, 2, Yammer's Breakerbox within a Docker containe…, 
mscottblake/reposado, 5, A Docker container for running Reposado., 
hovhannes/ubuntu_vicidial, 4, ViciDial on Ubuntu 14.04, 
woahbase/alpine-blynk, 3, Blynkkk server for MCU/IOT devices built on …, 
mfgroupwise/webacc-ng, 11, The GroupWise Web - Tech Preview (English on…, 
gbevan/jenkins-ubuntu, 3, Docker image for jenkins on ubuntu, 
uxdbuild/build, 2, , 
igloo/nginx, 2, Ubuntu, NGINX, 
xtaci/kcptun, 55, Official Automated Build for KCPTUN., 
madnight/docker-alpine-wkhtmltopdf, 6, docker-alpine-wkhtmltopdf, 
atlassian/pipelines-docker-daemon, 5, docker-in-docker for Bitbucket Pipelines, 
oneidentity/oneim-job, 9, One Identity Manager Service, 
viur/viur-base, 2, The base OS configuration before customizing…, 
juniper/pyez, 13, Juniper PyEZ Library, 
hdeadman/samba-domain, 2, Fork of github.com/Fmstrat/samba-domain, 
jarylc/snapdrop, 3, Minimal multiarch Snapdrop Alpine docker ima…, 
sberbank/python, 2, , 
vyos/image, 2, , 
ibbd/php7-fpm, 2, php7 fpm with pdo, redis, mongodb, msgpack, …, 
loicmahieu/alpine-envsubst, 3, alpine-envsubst, 
zigbee2mqtt/zigbee2mqtt-armv7, 3, , 
dariusbakunas/kippo-graph, 2, , 
dovorluthien/aliyundriver-webdav, 4, , 
determinedai/environments, 2, Prebuilt Docker images for Determined AI wor…, 
arsnova/arsnova-nginx, 2, ARSnova is a novel web-based Audience Respon…, 
bitnami/mediawiki, 24, Bitnami Docker Image for MediaWiki, 
xczh/c9, 3, Docker image of Cloud9 WebIDE (https://githu…, 
ocadotechnology/aimmo-game, 4, AIMMO Game, 
fish/nginx-exporter, 3, , 
ohpe/socks-my-vpn, 2, OpenVPN-client + SOCKS server in a Docker co…, 
distribution/distribution, 2, Open Source implementation for storing and d…, 
axiom/docker-luigi, 7, Luigi on Docker, using conda, 
poklet/opscenter, 6, Runs Cassandra opscenter - goes along with t…, 
toniblyx/prowler, 4, Prowler: the handy cloud security tool, 
evarga/jenkins-slave, 118, This is a basic container to be used as a Je…, 
bitnami/joomla, 24, Bitnami Docker Image for Joomla!, 
invoiceninja/invoiceninja, 72,  An open-source invoicing and time-tracking …, 
ajnart/homarr, 2, ⚠️ Homarr is no longer using hub.docker.com,…, 
bleenco/abstruse, 5, Abstruse CI - Continuous integration platfor…, 
x11docker/xfce-wine-playonlinux, 9, Wine and PlayOnLinux on Xfce desktop. Based …, 
tutum/ntpd, 2, [Tutum System Image] Keeps the host time in …, 
asupc/qqbot, 8, , 
jprjr/multistreamer, 6, Multistreamer is a webapp for pushing to mul…, 
cpoppema/docker-nginx-nodejs-lets-encrypt, 3, Docker image based on passenger-docker, but …, 
lhrbest/lhrlepus, 2, 天兔3.8版本，作者：小麦苗，微信公众号：DB宝…, 
drud/ddev-ssh-agent, 2, , 
guyton/centos6, 10, From official centos6 container with full up…, 
joeshaw/busybox-nonroot, 2, Busybox container with non-root user nobody, 
v2net/nginx-https, 2, Docker image to setup Nginx HTTPS reverse pr…, 
psitrax/powerdns, 76, PowerDNS with all Backends. Alpine based. Au…, 
lspg/ispconfig, 9, Debian based ISPConfig (latest is using Jess…, 
18fgsa/oracle-client, 2, Hosted version of the Oracle Container Image…, 
ibmcom/ibm-storage-flex-volume-for-kubernetes, 2, IBM Storage Kubernetes FlexVolume is an elem…, 
ildeon7/rpi-couchpotato, 6, CouchPotato for rpi (tested on rpi 2), 
sosedoff/pgweb, 34, Pgweb is a cross-platform web-based database…, 
pithings/rpi-grafana, 3, Grafana docker image for Raspberry Pi., 
hqmq/docker-elixir, 2, The smallest elixir container I can make. Ba…, 
edofede/baseimage, 2, Base multiarch image with runit, syslog-ng a…, 
nemoalex/docker-aria2, 6, aria2, 
rremani/cuda_crnn_torch, 5, Docker for CRNN model for text recognition: …, 
sulinggg/openwrt-mini, 15, , 
ianblenke/fail2ban, 3, , 
rancher/rancher, 341, A container management platform built for or…, 
ajeetraina/prometheus-armv7, 3, A Dockerized Prometheus Image for Raspberry …, 
txn2/asws, 2, ASWS Static Web Server, 
yinlinchen/fcrepo4-docker, 4, This is the 4.7.5 release of Fedora 4 Docker., 
bde2020/spark-worker, 28, Apache Spark worker for a standalone cluster, 
x110dc/rundeck, 2, , 
vcxpz/readarr, 2, , 
ezgmz/postgres-with-long-names, 2, , 
lsioarmhf/calibre-web, 8, ARMHF based Linuxserver.io image of calibre-…, 
udata/circleci, 2, udata build environment for CircleCI 2.0, 
thomasilliet/feedbin-refresher, 2, Feed refreshing service for Feedbin, 
technitium/dns-server, 8, Technitium DNS Server (Official Image), 
alvrme/alpine-android, 9, 🐋 Small docker image for building & testing…, 
jnazario/thug, 2, an install of thug v0.4.31, a python honeycl…, 
prologic/mksslcrt, 2, Create self-signed SSL certificates easily!, 
ddooo/fast, 2, Minimal zero-dependency utility for testing …, 
nipreps/mriqc, 3, , 
antonienko/android-emulator, 5, android r23 emulator, 
dnote/dnote, 5, A simple command line notebook for programme…, 
hivesolutions/gekko, 11, Gekko trading bot., 
mpkuse/kusevisionkit, 3, A docker image for computer vision developer…, 
sutoj/piler, 2, , 
mikenye/adsbexchange, 6, Feeds ADS-B data into adsbexchange.com. Desi…, 
gfjardim/btsync, 3, , 
emcniece/dockeryourxyzzy, 5, A containerized build of https://github.com/…, 
jitsi/jicofo, 22, Jicofo image for Jitsi Meet, 
bydavy/spksrc, 3, Docker container for spksrc which is a cross…, 
bwsw/cloudstack-ui, 4, Alternative Apache Cloudstack light and mode…, 
fhem/fhem, 32, Basic FHEM multi-platform image, based on de…, 
aetas/spring-boot-admin-docker, 8, Dockerized codecentric/spring-boot-admin app…, 
mifos/fineract-one-tenant, 6, Archive this 2016, 
yfxiaodou/thunder-xware-arm, 2, thunder-xware, 
rancher/os, 55, Rancher OS installation container, 
dushixiang/guacd, 3, 基于Apache Guacamole Server，只增加了中英文…, 
rpmbuild/centos7, 16, CentOS 7 RPM package building environment, 
rancher/ansible-runner, 6, , 
mnuessler/pdftk, 8, Docker image for pdftk., 
mkerix/room-assistant, 15, Presence tracking and more for automation on…, 
mcreations/openwrt-x64, 2, , 
2ndlayer/centos-cardano-jormungandr, 2, Docker image for Jormungandr, an aspiring bl…, 
polinux/mkdocs, 15, MkDocs in a Docker. (Alpine Linux as a base …, 
t4skforce/syncthing-relay, 12, Syncthing relay server Docker image for http…, 
clearlinux/python, 5, Python programming interpreted language with…, 
zixia/wechat, 49, DoChat is a Dockerized WeChat (盒装微信) PC …, 
paigeeworld/centos7, 6, Centos7 with apache, iperf3, nmap, ssh, 
circleci/sshd, 4, Created and managed by https://github.com/ci…, 
kasmweb/brave, 11, Brave browser for Kasm Workspaces, 
appsvc/dotnetcore, 28, Dotnet core Docker build, 
toughiq/owncloud-client, 4, Dockerized OwnCloud CLI Client, 
sdesbure/yamllint, 4,  Yamllint into a docker (used for CI) , 
tzutalin/py2qt4, 2, Python 2.7 + Qt4 on Ubuntu, 
ibmcom/zabbix-server-s390x, 2, Docker image for zabbix-server-s390x, 
zaiste/postgresql, 8, PostgreSQL 9.2 - https://gist.github.com/zai…, 
jwetzell/guacamole, 21, A self-contained guacamole docker container.…, 
sdcplatform/actionsvc, 2, This microservice manages actions., 
n42inc/n42ce_master, 2, Docker image for automated monitoring of Swa…, 
mlabbe/speedtest-mini, 3, -EXPIRED- Dockerfile to setup Ookla's Speedt…, 
ugeek/shaarli, 2, , 
hlds/server, 4, Half-Life Dedicated Server, 
kekru/docker-remote-api-tls, 8, Docker Image that forwards to the Docker API…, 
jpbarto/boto3, 2, Containerized edition of AWS SDK (Boto3) usi…, 
dmathai/prom-pushgateway-ttl, 3, Promethues Pushgateway with Time to Live(TTL), 
continuumio/miniconda, 83, Powerful and flexible package manager, 
envoyproxy/envoy-build-ubuntu, 5, , 
pschmitt/rclone, 7, Latest rclone on Alpine Linux, 
onlyoffice4enterprise/controlpanel-ee, 2, , 
mgtcommerce/mgt-development-environment-5.6, 5, , 
jauderho/tailscale, 3, Tailscale is Wireguard made easy. https://gi…, 
elgalu/zalenium, 2, , 
frappe/erpnext-nginx, 9, Serves static assets and proxies web request…, 
ryanj/gist-reveal.it, 4, Relocated to: https://hub.docker.com/r/ryanj…, 
vncserver/lubuntu, 28, Try Lubuntu 18.04 Dektop with vncserver on D…, 
dlanguage/dmd, 9, DMD - Digital Mars D Compiler, 
mbentley/ldap-utils, 2, , 
lxk0301bak/jd_scripts, 20, bak you know?, 
johnz216/cuckoo-aws-docker, 5, Setup Cuckoo using Docker with AWS as a mach…, 
clue/sculpin, 3, Sculpin is a static site generator written i…, 
egmen/node-oracle, 3, NodeJS image with Oracle Instant Client. Aut…, 
iatebes/oracle_11g, 13, Docker image for Oracle Database 11g, 
mtproxy/mtproxy, 7, Telegram MTProto Proxy (Unofficial), 
gbraad/c9ide, 12, A powerful IDE for the cloud under your cont…, 
collelog/epgstation, 2, EPGStation, FFmpeg v4.4, sqlite3-pcre. Enabl…, 
owntracks/frontend, 6, Web interface for OwnTracks, 
htmlgraphic/vpn, 20, A Docker Automated Build Repository for Soft…, 
kakawait/ansible-tower, 4, Ansible-tower on docker, 
up2university/moodle, 5, Moodle image for Up2U, 
ewomail/ewomail, 6, , 
jbbodart/arch-delugevpn, 2, Arch Linux base running Deluge, OpenVPN and …, 
oozman/puppeteer, 2, A GoogleChrome/puppeteer docker container., 
kyleondy/alpine-rsync, 3, Alpine container that contains rsync, 
kojiromike/magento_fs, 2, CIFS/Samba server for the kojiromike/magento…, 
hcvst/zotonic, 4, Zotonic - Erlang Web Framework (http://zoton…, 
continuumio/conda_builder_linux, 4, A build platform for Linux packages (64-bit …, 
dreaminess/rrshareweb, 7, 人人影视WEB远程管理版, 
vukor/docker-lnmp, 2, Linux Nginx Mysql Php stack, 
pboos/collectd-graphite, 2, Basic collectd-based server monitoring. Send…, 
cyrale/project-zomboid, 7, A Project Zomboid server with LinuxGSM., 
finalcut/mxunit, 2, Contains the coldfusion unit testing framewo…, 
oryd/hydra, 68, Scalable, security first OAuth 2.0 and OpenI…, 
twingate/connector, 15, , 
gaarangoa/deeparg, 3, Annotation of antibiotic resistance genes us…, 
ytnobody/alpine-perl, 2, alpine + perl + plack + cpm, 
hmerritt/music-library-player, 3, Self-hosted music player, 
loraserver/lora-gateway-bridge, 6, , 
lexpredict/tika-server, 5, Apache Tika Server with Tesseract 4, 
exceptionless/elasticsearch, 2, , 
esycat/teamcity-server, 2, , 
gchq/gaffer, 2, Official build of Gaffer deployed on Accumulo, 
ecosi/bastillion, 4, Image for SSH web bastion from Bastillion.io, 
atwoz/octoprint, 2, Docker Container for OctoPrint service, 
stalk/xpush, 3, , 
tplatform/aws-linux-httpd24-php70, 3, aws-linux-httpd24-php70, 
emitter/server, 7, Emitter: clustered and low latency publish-s…, 
ahaasler/jira, 8, , 
lmc999/regioncheck, 2, bash script to check if your VPS's IP is ava…, 
toru2220/scrapy-chrome, 6, scrapy with google-chrome(headless) base deb…, 
timche/csgo, 8, CS:GO Server with automated/manual updating …, 
pingidentity/pingdatasync, 8, This image provides a standalone PingDataSync, 
bitnami/osclass, 3, Bitnami Docker Image for Osclass, 
esphome/esphome, 92, , 
xaamin/artisan-queue, 2, Run artisan queue listeners, 
bbinet/teamviewer, 2, Docker image to run TeamViewer, 
sitespeedio/sitespeed.io, 104, sitespeed.io including Chrome, Firefox, Edge…, 
dhet/debezium-connect, 2, An easily configurable Debezium Docker image…, 
fission/fission-bundle, 3, , 
mnunes/deva2, 3, A Docker container providing a development e…, 
hochzehn/wordpress-sendmail, 2, WordPress docker container with sendmail rea…, 
ocaml/opam2, 11, Opam 2 and OCaml containers, 
innovatorjapan/awscli, 2, Container for Codedeploy via AmazonS3 with C…, 
fedora/qpid, 20, , 
turgon37/smtp-relay, 17, This Docker run an instance of postfix confi…, 
brcomconcretesolutions/jenkins-androidsdk, 2, A jenkins image with the Android SDK install…, 
ts3mb/ts3musicbot, 2, [Offical] TS3MusicBot.net Docker Image - One…, 
softprojectgmbh/x4_server, 2, X4 BPMS - Docker image for X4 BPMS, 
wuwengang/docker-sslocal-privoxy, 3, Turn shadowsocks into socks5 and http, 
apache/ozone, 6, Apache Hadoop Ozone convenience images, 
tutum/hello-world, 89, Image to test docker deployments. Has Apache…, 
qserv/qserv, 2, , 
jess/apk-file, 3, , 
jberrenberg/davmail, 14, DavMail for Docker, 
xetusoss/naemon, 2, Naemon image with configurable LDAP/SSL/Jabb…, 
lncm/bitcoind, 9, Flexible multi-arch (amd & amd64) Bitcoin Co…, 
lsioarmhf/radarr, 27, ARMHF based Linuxserver.io image of radarr, 
voidp/mellow, 5, Mellow can communicate with several APIs whi…, 
keinos/sqlite3, 12, Latest release of SQLite3 container. (Alpine), 
xemuliam/dbt, 5, Docker image for DBT-labs (former FishtownAn…, 
ns3dce/mptcp, 4, network simulation for Linux Multipath TCP k…, 
xufan6/dragonwell8, 2, https://github.com/alibaba/dragonwell8/, 
ibmcom/cfc-installer, 25, Docker Image for IBM Cloud private-ce (Commu…, 
ryshe/terraria, 97, TShock & Vanilla & Mobile for Terraria, 
m1k1o/neko, 8, Fork of https://github.com/nurdism/neko/, 
ceph/daemon-base, 3, , 
kuali/nats-streaming-console, 3, A web console for Nats Streaming Server, 
sipcapture/homer-kamailio, 4, HOMER Docker Kamailio, 
nvidia/dcgm-exporter, 13, NVIDIA GPU metrics exporter for Prometheus, 
wso2/wso2mi-dashboard, 3, General-purpose dashboard for monitoring WSO…, 
schurig/ynab-bank-importer, 3, YNAB bank importer, 
tsuru/python, 2, Image for the Python platform in tsuru PaaS., 
ygqygq2/fastdfs-nginx, 29, 整合了nginx的fastdfs, 
pottava/gox, 2, Gox images based on Alpine Linux., 
bekkere/docker-ionic2, 6, Build ionic2 development container ... nodej…, 
jakewmeyer/spacex-api, 3, r/SpaceX public REST API, 
ogazitt/node-env, 2, node app that shows environment variables, 
adito/ssh-tunneling, 3, tunneling via ssh, 
joshdvir/ipd, 2, ipd, 
wpscanteam/wpscan, 61, WPScan, 
hushunxu/qinglong_base, 32, qinglong_base:2.11.3（amd64;arm64v8;arm32v7…, 
yetiforce/yetiforcecrm, 4, YetiForce is an open high-class CRM system t…, 
invokr/cgit, 2, cgit docker container, 
mohamnag/nginx-file-browser, 8, a simple file browser for nginx autoindex mo…, 
bvlc/caffe, 104, Official Caffe images, 
