name, starcount, description, official
gists/shadowsocks-libev, 42, [unofficial] libev port of shadowsocks based…, 
lolhens/keepalived-swarm, 2, , 
ns1labs/flame, 3, flamethrower: a DNS performance and function…, 
yohan460/spaceengineers-server, 2, Space Engineers Server configured based on t…, 
garland/mesosphere-docker-mesos-master, 9, , 
itprojectsllc/odoo-runbot-docker, 2, The project allows to deploy your own runbot…, 
cakebuild/cake, 5, Official containers for Cake (C# Make) is a …, 
huaweinoah/smarts, 3, SMARTS is a simulation platform for RL and m…, 
joffrey/iojs, 2, io.js is an npm compatible platform original…, 
noobaa/noobaa-core, 3, NooBaa Image - https://github.com/noobaa/noo…, 
grafana/smtprelay, 2, , 
alexgaspar/fbctf, 5, Dockerized fbctf https://github.com/facebook…, 
oupula/tomcat9_jdk8, 2, apache tomcat 9.0.13 + jdk1.8.0_191 + tomcat…, 
izzno/unraid-plexconnect, 2, unRAID adaptation of PlexConnect., 
injcristianrojas/simple-xss-example, 2, , 
gnat42/centos7-php7, 2, centos7 with remi php7 , 
thomasleplus/qrcode, 3, Docker container to run QR code generator., 
caktux/travis-cli, 7, Travis CLI in a ruby:alpine image, 
lrstsccp/lrst, 2, , 
boramalper/magneticod, 5, , 
sxmichael/docker-bamboo-server, 2, docker-bamboo-server, 
linuxserver/headphones, 206, A Headphones container, brought to you by Li…, 
fiware/authzforce-ce-server, 3, Authzforce CE Server's Docker auto-build, 
cespi/php-5.3, 5, Legacy PHP 5.3 for some old applications use…, 
adzerk/boot-clj, 6, Oracle Java 8 + the Clojure build tool Boot, 
mumoshu/kube-airflow, 8, A docker image and kubernetes config files t…, 
femtopixel/kompose, 2, Docker image (multiarch) to convert docker-c…, 
xtoys/tieba-sign, 2, 贴吧定时签到, 
captinsano/ddclient, 2, , 
intel/intel-optimized-tensorflow-serving, 2, Containers with TensorFlow* Serving optimize…, 
auchandirect/forticlient, 5, Connect to a FortiNet VPNs through docker, 
joyzoursky/python-chromedriver, 60, Python with Chromedriver, for running automa…, 
osixia/openldap-backup, 16, osixia/openldap + periodic backups., 
yahoojapan/ngtd, 2, NGTD provides interface for NGT on gRPC/HTTP, 
jellyfin/jellyfin, 702, The Free Software Media Browser , 
hdejager/libreoffice-api, 2, LibreOffice Headless with API in Docker , 
wahyd4/aria2-ui, 137, The Docker image for Aria2 + AriaNg / Aria2 …, 
muslcc/i686, 2, The 'musl.cc' toolchains on Alpine Linux bas…, 
cyrilix/argocd, 2, , 
networkstatic/nmap, 6, Dockerized Nmap Port Scanner on Debian, 
flynn/etcd, 2, , 
trevorj/mopidy-extras, 11, Containerized Mopidy with every official plu…, 
docker/migrator, 5, Tool to migrate Docker images from a v1 regi…, 
feiyusir/btpannel, 4, 32 bit btpannel for onecloud armbian  , 
dius/pact-broker, 19, Official Dockerized Pact Broker, 
wvogt/spring-boot-admin, 3, Docker wrapper for codecentric/spring-boot-a…, 
michaelatdocker/fhem, 4, Docker container for FHEM, based on Debian J…, 
ipedrazas/taiga-front, 3, , 
sourceservers/csgo, 3, Counter-Strike: Global Offensive (SRCDS)., 
zetaplusae/shadowsocks-kcptun, 3, 集成kcptun的Shadowsocks镜像, 
ibmcom/iop-hadoop, 12, IBM Open Platform with Apache Hadoop, 
pipelinecomponents/yamllint, 2, Yamllint in a container for gitlab-ci, 
newrelic/synthetics-minion, 5, Synthetics Containerized Private Minion, 
apache/drill, 6, Apache Drill, 
